lyrics_string,genre_class
"Oh love\nHear me turn these words into a song\nFor them to sing along to when I'm gone\nFor them to sing along to when I'm gone\n\nOh love\nLet me be the one to set them free\nI will give them every part of me\nPut my heart where everyone can see\n\nThey can call me whatever they want\nCall me crazy\nYou can call me whatever you want\n...\n\n\n",C17
"I found a love for me\nOh darling, just dive right in and follow my lead\nWell, I found a girl, beautiful and sweet\nOh, I never knew you were the someone waiting for me\n'Cause we were just kids when we fell in love\nNot knowing what it was\nI will not give you up this time\nBut darling, just kiss me slow, your heart is all I own\nAnd in your eyes, you're holding mine\n\nBaby, I'm dancing in the dark with you between my arms\nBarefoot on the grass, listening to our favourite song\nWhen you said you looked a mess, I whispered underneath my breath\n...\n\n\n",C14
"Yeah, they wishin' and wishin'\nAnd wishin' and wishin'\nThey wishin' on me, yuh\n\nI been movin' calm, don't start no trouble with me\nTryna keep it peaceful is a struggle for me\nDon't pull up at 6 AM to cuddle with me\nYou know how I like it when you lovin' on me\nI don't wanna die for them to miss me\nYes, I see the things that they wishin' on me\nHope I got some brothers that outlive me\nThey gon' tell the story, shit was different with me\n\nGod's plan, God's plan\nI hold back, sometimes I won't, yuh\nI feel good, sometimes I don't, ayy, don't\nI finessed down Weston Road, ayy, 'nessed\nMight go down a G.O.D., yeah, wait\nI go hard on Southside G, yuh, wait\nI make sure that north-side eat\n\n...\n\n\n",C18
"I can never love her like I love you\nAnd when I close my eyes girl It's all you\nAnd after everything that we've been through\nI can't lie there's no escaping you\n\nI'm trapped in these memories\nI'm trapped in these memories\nI'm trapped in these memories\nI'm trapped in these memories\nI'm trapped in these memories\n(I'm trapped in these memories)\n...\n\n\n",C17
"Hey\n\nHavana, ooh na-na (ayy)\nHalf of my heart is in Havana, ooh na-na (ayy, ayy)\nHe took me back to East Atlanta, na-na-na, ah\nAll of my heart is in Havana (ayy)\nThere's somethin' 'bout his manners (uh huh)\nHavana, ooh na-na (uh)\n\nHe didn't walk up with that how you doin'? (uh)\nWhen he came in the room\nHe said there's a lot of girls I can do with (uh)\nBut I can't without you\nI knew him forever in a minute (hey)\nThat summer night in June\nAnd papa says he got malo in him (uh)\nHe got me feelin' like...\n\nOoh-ooh-ooh-ooh-ooh-ooh-ooh-ooh (ayy)\nI knew it when I met him (ayy), I loved him when I left him\nGot me feelin' like, ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh\nAnd then I had to tell him, I had to go\nOh na-na-na-na-na (woo)\n\nHavana, ooh na-na (ayy, ayy)\nHalf of my heart is in Havana, ooh na-na (ayy, ayy)\n...\n\n\n",C14
"I know you moved onto someone new\nHope life is beautiful\nYou were the life of me to find my truth\nI just wanna say, thank you\n\nLeaving to find my soul\nTold her I had to go\nAnd I know it ain't pretty\nWhen our hearts get broke\nToo young to feel this old\nWatching us both turn cold\nOh, I know it ain't pretty\nWhen two hearts get broke\nYeah, I know it ain't pretty\nWhen two hearts get broke\n\nI hope someday\nWe'll sit down together\nAnd laugh with each other\nAbout these days, these days\nAll our troubles\nWe'll lay to rest and\n\nWe'll wish we could come back to these days\nThese days\n\nThese days, these days\nThese days, these days\n\nThree years of ups and downs\nNothing to show for it now\n...\n\n\n",C17
"Here, where the sky's falling\nI'm covered in blue\nI'm running and I'm crawling\nFighting for you\nWhen the rain stops, then, darling, what will I do?\nAnd I know I go all in, but why do I?\n\nYou give me a reason, something to believe in\nI know, I know, I know\nYou give me a meaning, something I can breathe in\nI know, I know, I know\nIt's a bittersweet feeling\nLonging, and I'm leaving\nI go, I go, I go\nBut I wish I was there with you\nOh, I wish I was there with you\n...\n\n\n",C14
"Nobody pray for me\nIt's been that day for me\nWaaaaay (yeah, yeah!)\n\nAyy, I remember syrup sandwiches and crime allowances\nFinesse a nigga with some counterfeits, but now I'm countin' this\nParmesan where my accountant lives; in fact, I'm downin' this\nD'USSÉ with my boo bae tastes like Kool-Aid for the analysts\nGirl, I can buy yo' ass the world with my paystub\nOoh, that pussy good, won't you sit it on my taste bloods?\nI get way too petty once you let me do the extras\nPull up on your block, then break it down: we playin' Tetris\nA.M. to the P.M., P.M. to the A.M., funk\nPiss out your per diem, you just gotta hate 'em, funk\nIf I quit your BM, I still ride Mercedes, funk\nIf I quit this season, I still be the greatest, funk\nMy left stroke just went viral\nRight stroke put lil' baby in a spiral\nSoprano C, we like to keep it on a high note\nIt's levels to it, you and I know\n\nBitch, be humble (hol' up, bitch)\nSit down (hol' up, lil', hol' up, lil' bitch)\nBe humble (hol' up, bitch)\n...\n\n\n",C18
"In your eyes, there's a heavy blue\nOne to love and one to lose\nSweet divine, a heavy truth\nWater or wine, don't make me choose\n\nI wanna feel the way that we did that summer night\nNight (ah-ah)\nDrunk on a feeling, alone with the stars in the sky\n\nI've been running through the jungle\nI've been running with the wolves\nTo get to you, to get to you\n\nI've been down the darkest alleys\nSaw the dark side of the moon\nTo get to you, to get to you\n\nI've looked for love in every stranger\nTook too much to ease the anger\nAll for you, yeah, all for you\n\nI've been running through the jungle\nI've been crying with the wolves\nTo get to you\nTo get to you, oh, to get to you\n\n•••\n...\n\n\n",C14
"I think that I'll keep loving you, way past sixty-five\nWe made a language for us two, we don't need to describe\nEvery time you call on me, I drop what I do\nYou are my best friend and we've got some shit to shoot\n\nDo you wanna meet me at the bar? (ya)\nDo you wanna meet me at the lounge? (ya)\nDo you wanna meet me in the club? (ya)\nDo you wanna meet me downtown? (okay)\nDo you wanna meet me in the east? (ya)\nDo you wanna meet me in the west? (ya)\nDo you wanna meet me on the block? (ya)\nDo you wanna meet me at the spot? (okay)\n\nI think that I'll keep loving you, way past sixty-five\nWe made a language for us two, we don't need to describe\nEvery time you call on me, I drop what I do\nYou are my best friend and we've got some shit to shoot\n...\n\n\n",C17
"Take a seat\nRight over there, sat on the stairs\nStay or leave\nThe cabinets are bare, and I'm unaware\nOf just how we got into this mess\nGot so aggressive\nI know we meant all good intentions\n\nSo pull me closer\nWhy don't you pull me close?\nWhy don't you come on over?\nI can't just let you go\n\nOh, baby\nWhy don't you just meet me in the middle?\nI'm losing my mind just a little\nSo why don't you just meet me in the middle?\nIn the middle\n\nBaby\nWhy don't you just meet me in the middle?\nI'm losing my mind just a little\nSo why don't you just meet me in the middle?\n...\n\n\n",C17
"Yeah, I'd rather be a lover than a fighter\n'Cause all my life, I've been fighting\nNever felt a feeling of comfort\nAll this time, I've been hiding\n\nAnd I never had someone to call my own, oh nah\nI'm so used to sharing\nLove only left me alone\nBut I'm at one with the silence\n\nI've found peace in your violence\nCan't show me there's no point in trying\nI'm at one, and I've been quiet for too long, oh\n\nI've found peace in your violence\nCan't show me there's no point in trying\n...\n\n\n",C17
